Referenz-BLEU;Phenom-BLEU;Delta;English Original;Input Phonemic Variant;Validation Reference;Reference Model Output;Phoneme Model Output;Phenom Manualy Translated into Standard German
0,174665118;0,154321821;0,020343;both taught in the Division of Social Sciences and History , which lists 17 faculty members , and many students took courses from both .;bˈəʊθ tˈɔːt ɪnðə dɪvˈɪʒən ɒv sˈəʊʃəl sˈaɪənsɪz and hˈɪstəɹi wˌɪtʃ lˈɪsts sˈɛvəntˌiːn fˈakəlti mˈɛmbəz and mˈɛni stjˈuːdənts tˈʊk kˈɔːsɪz fɹɒm bˈəʊθ;beide unterrichteten in der Abteilung für Sozialwissenschaften und Geschichte deren Lehrkörper 17 Mitglieder umfasst und viele Studenten besuchten Kurse von beiden;beide lehrten in der Abteilung Sozialwissenschaften und Geschichte die 17 Fakultätsmitglieder zählt und viele Studenten nahmen Kurse von beiden;bˈaɪdə lˈeːɾtən ɪn dɛɾ ˈaptˌaɪlʊŋ zˈoːtsiːˌalvɪsˌɛnʃaftən ʊnt ɡəʃˈɪçtə diː lˈɪstən zˈiːptseːn fˈɑkʊltˌɛtsmɪtɡlˌiːdɜ ʊnt fˈiːlə ʃtuːdˈɛntən nˈɑːm kˈ??zə fɔn bˈaɪdən;beide lehrten in der Abteilung Sozialwissenschaften und Geschichte die ersten 17 Fakultätsmitglieder  und viele Studenten nah K??se von beiden
0,400497015;0,075488424;0,325009;at the same time , there were some inclinations of problems .;at ðə sˈeɪm tˈaɪm ðeəwˌɜː sˌʌm ɪŋklɪnˈeɪʃənz ɒv pɹˈɒbləmz;zur gleichen Zeit gab es einige Neigungen zu problematischen Verhaltensweisen;gleichzeitig gab es einige Neigungen zu Problemen;ɡlˈaɪçtsaɪtˌɪç ɡˈɑːp ɛs ɡəvˈɪsə nˈaɪɡʊŋən tsuː pɾoːblˈeːmən;gleichzeitig gab es gewisse Neigungen zu Problemen
0,244809832;0,299276903;-0,054467;"a student who praised Lamb , Brandon beavers , said he also seemed agitated and jittery , &quot; like there was something wrong with him . &quot;";ɐ stjˈuːdənt hˌuː pɹˈeɪzd lˈam bɹˈandən bˈiːvəz sˈɛd hiː ˈɔːlsəʊ sˈiːmd ˈadʒɪtˌeɪtɪd and dʒˈɪtəɹi and kwˈɒt lˈaɪk ðeəwˌɒz sˈʌmθɪŋ ɹˈɒŋ wɪð hˌɪm and kwˈɒt;"ein Student Brandon Beavers der Lamb lobte sagte er schien auch ein wenig aufgeregt und nervös &quot; als ob etwas mit ihm falsch sei &quot;";"ein Student der Lamm lobte Brandon Biber sagte er schien auch aufgeregt und nervös &quot; wie es etwas nicht mit ihm &quot;";aɪn ʃtuːdˈɛnt dɛɾ lˈamp bɾˈandoːn bəˈɑvɜs lˈoːptə zˈɑːɡtə ɛɾ ʃˈiːn ˌaʊx ˈaʊfrˌeːkt ʊnt nˈɛɾvøːs ˈʊnt kvˈoːt viː ɛs ˈɛtvɑːs fˈalʃ mɪt iːm ˈʊnt kvˈoːt;"ein Student der Lamb Brandon Biber lobte sagte er schien auch aufgeregt und nervös &quot; wie es etwas falsch mit ihm &quot;"
0,472903602;0,507017395;-0,034114;another student , Mikel Sykes , said Lamb told him he was dealing with stress at the end of the 2014 @-@ 15 academic year .;ɐnˈʌðə stjˈuːdənt mˈɪkəl sˈaɪks sˈɛd lˈam tˈəʊld hˌɪm hiː wɒz dˈiːlɪŋ wɪð stɹˈɛs at ðɪ ˈɛnd ɒvðə tˈuː θˈaʊzənd ən fˈɔːtiːn ˈatat fˈɪftiːn ˌakədˈɛmɪk jˈiə;ein anderer Student Mikel Sykes sagte dass Lamm ihm erzählt habe dass er am Ende des akademischen Jahres 2014 @-@ 15 mit Stress zu tun hatte;ein anderer Student Mikel Sykes sagte Lamb dass er Ende des akademischen Jahres 2014 / 15 mit Stress zu tun habe;aɪn ˈandərɜ ʃtuːdˈɛnt mˈɪçɑːl zˈyːkəs zˈɑːɡtə lˈam zˈɑːɡtə ˈiːm ɛɾ hɑːbə ɛs mɪt ʃtɾˈɛs am ˈɛndə dɛs ˌɑkadˈeːmɪʃən jˈɑːrəs tsvˈaɪ tˈaʊzənt fˈɪɾtseːn ˈɛtˈɛt fˈynftseːn tsuː tˈuːn;ein anderer Student Mikel Sykes sagte Lamb sagte ihm er habe es mit Stress am Ende des akademischen Jahres 2014 @-@ 15 zu tun
0,281382077;0,079075238;0,202307;lamb had earlier asked Delta State University for a medical leave of absence , saying he had a health issue of some sort .;lˈam had ˈɜːlɪəɹ ˈaskt dˈɛltə stˈeɪt jˌuːnɪvˈɜːsɪti fəɹə mˈɛdɪkəl lˈiːv ɒv ˈabsəns sˈeɪɪŋ hiː had ɐ hˈɛlθ ˈɪʃuː ɒv sˌʌm sˈɔːt;Lamb hatte zuvor die Delta State University um eine Beurlaubung aus gesundheitlichen Gründen gebeten und dabei gesagt dass er irgendein gesundheitliches Problem habe;Lamm hatte zuvor die Delta State University um einen medizinischen Urlaub der Abwesenheit gebeten sagte er habe eine gesundheitliche Frage irgendeiner Art;lˈamp hˌatə tsuːfˌɔɾ an dɛɾ dˈɛltɑː stˈeɪt jˌuːnɪvˈɜːsɪti ˌaɪnə ˈɛɾtstlɪçə ˈapvˌeːzənhˌaɪt bəˈantɾˌɑːkt ʊnt zˈɑːɡtə ɛɾ hɑːbə ˌaɪnə ɡəzˈʊnthaɪtlˌɪçə frˈɑːɡə ˈɪɾɡəndˌaɪnɜ ˈɑːɾt;Lamb hatte zuvor an der Delta State University eine ärztliche Abwesenheit beantragt und sagte er habe eine gesundheitliche Frage irgendeiner Art
0,880111737;0,525381979;0,354730;this year , he was only teaching two online classes .;ðɪs jˈiə hiː wɒz ˈəʊnli tˈiːtʃɪŋ tˈuː ˈɒnlaɪn klˈasɪz;in diesem Jahr unterrichtete er nur zwei Online @-@ Kurse;in diesem Jahr unterrichtete er nur zwei Online @-@ Klassen;ɪn dˌiːzəm jˈɑːɾ ˌʊntɜrˈɪçtət ɛɾ nˈuːɾ tsvˈaɪ ˈɒnlaɪn ˈɛtˈɛt klˈasən;in diesem Jahr unterrichtet er nur zwei Online @-@ Klassen
0,213087795;0,194712081;0,018376;"recent changes in the university &apos;s hiring policies meant that the doctorate Lamb had worked so hard to earn would not guarantee him an automatic tenure track to become an assistant professor .";ɹˈiːsənt tʃˈeɪndʒɪz ɪnðə jˌuːnɪvˈɜːsɪti and ɐpˈəʊz ˈɛs hˈaɪəɹɪŋ pˈɒlɪsiz mˈɛnt ðatðə dˈɒktəɹˌeɪt lˈam had wˈɜːkt sˌəʊ hˈɑːd tʊ ˈɜːn wʊd nˌɒt ɡˌaɹəntˈiː hˌɪm ɐn ˌɔːtəmˈatɪk tˈɛnjə tɹˈak tə bɪkˌʌm ɐn ɐsˈɪstənt pɹəfˈɛsə;neueste Änderungen in der Beschäftigungspolitik der Universität bedeuteten dass die Promotion für die Lamb so hart gearbeitet hatte für ihn keine Garantie für einen automatischen Weg zu einer Anstellung als Assistant @-@ Professor darstellen würde;die jüngsten Änderungen in der Einstellungspolitik der Universität bedeuteten dass das Doktorat Lamb so hart gearbeitet hatte um zu verdienen ihm keine automatische Laufbahn als Assistenzprofessor garantieren würde;diː jˈyŋstən fɛɾˈɛndərˌʊŋən ɪn dɛɾ ˈaɪnʃtˌɛlʊŋspˌoːliːtˌiːk dɛɾ ˌuːniːvˌɛɾziːtˈɛːt bədˈɔøtətən das das dˈɔktɔɾtˌiːtəl lˈamp zoː hˈaɾt ɡəˈaɾbaɪtət hˌatə ʊm ɛs tsuː fɛɾdˈiːnən iːm kˈaɪnə ˌaʊtoːmˈɑːtɪʃə lˈaʊfbɑːn als ˌasɪstˈɛntspɾoːfˌɛsoːɾ ɡˌɑrantˈiːrən vˈyɾdə;die jüngsten Veränderungen in der Einstellungspolitik der Universität bedeuteten dass das Doktortitel Lamb so hart gearbeitet hatte um zu verdienen ihm keine automatische Laufbahn als Assistenzprofessor garantieren würde 
0,465398141;0,19618873;0,269209;"University President William LaForge said he didn &apos;t know of any conflict between Lamb and Schmidt but &quot; obviously there was something in Mr. Lamb &apos;s mind . &quot;";jˌuːnɪvˈɜːsɪti pɹˈɛzɪdənt wˈɪliəm lˌa fˈɔːdʒ sˈɛd hiː dˈɪdən and ɐpˈəʊz tˈiː nˈəʊ ɒv ˌɛni kˈɒnflɪkt bɪtwˌiːn lˈam and ʃmˈɪt bˌʌt and kwˈɒt ˈɒbviəsli ðeəwˌɒz sˈʌmθɪŋ ɪn mˈɪstə lˈam and ɐpˈəʊz ˈɛs mˈaɪnd and kwˈɒt;"Universitäts @-@ Präsident William LaForge sagte er wisse nichts von einem Konflikt zwischen Lamb und Schmidt aber &quot; natürlich gab es etwas in Mr Lambs Vorstellung &quot;";"der Präsident der Universität William LaForge sagte er wüsste nichts von einem Konflikt zwischen Lamb und Schmidt aber &quot; offensichtlich war etwas in Herrn Lambs Gedanken &quot;";dɛɾ pɾˌɛːziːdˈɛnt dɛɾ ˌuːniːvˌɛɾziːtˈɛːt vˈɪliːˌɑːm lˈɑː fˈɔɾɡə zˈɑːɡtə ɛɾ kˈɛnə kˈaɪnən kɔnflˈɪkt tsvˈɪʃən lˈɑːm ʊnt ʃmˈɪt ˌɑːbɜ ˈʊnt kvˈoːt ˈɔfɛnzˌɪçtlɪç ɪst dɑː ˈɛtvɑːs ɪm kˈɔpf fɔn hˈɛɾn lˈɑːm ˈʊnt kvˈoːt;"der Präsident der Universität William LaForge sagte er kenne keinen Konflickt zwischen Lamb und Schmidt aber &quot; offensichtlich ist da etwas im Kopf von Herrn Lamb &quot;"
1;0,596949179;0,045279;those are questions Lamb can no longer answer .;ðəʊz ɑː kwˈɛstʃənz lˈam kan nˌəʊ lˈɒŋɡəɹ ˈansə;das sind Fragen die Lamb nicht mehr beantworten kann;das sind Fragen die Lamb nicht mehr beantworten kann;das zɪnt frˈɑːɡən diː lˈam nˈɪçt mˌeːɾ bəˈantvɔɾtən kˌan;das sind Fragen die Lamb nicht mehr beantworten kann
0,387540775;0,2076047;0,046788;"after fleeing the campus , police later picked up Lamb &apos;s trail when he crossed back into Mississippi from Arkansas .";ˈaftə flˈiːɪŋ ðə kˈampəs pəlˈiːs lˈeɪtə pˈɪkt ˌʌp lˈam and ɐpˈəʊz ˈɛs tɹˈeɪl wɛn hiː kɹˈɒst bˈak ˌɪntʊ mˌɪsɪsˈɪpi fɹɒm ˈɑːkənsˌɔː;nach der Flucht aus dem Campus fand die Polizei später Lambs Spur als er wieder in Mississippi aus Arkansas einfuhr;nach der Flucht aus dem Campus nahm die Polizei später Lambs Weg wieder auf als er von Arkansas nach Mississippi zurückfuhr;nɑːx zˌaɪnɜ flˈʊxt ˌaʊs deːm kˈampʊs nˈɑːm diː pˌoːliːtsˈaɪ ʃpˈɛːtɜ lˈɑːms tɹˈeɪl ˈaʊf als ɛɾ fɔn ˈaɾkanzˌɑːs nɑːx mˌɪsɪsˈɪpiː tsuːrˈykkˌeːɾtə;nach seiner Flucht aus dem Campus nahm die Polizei später Lambs Trail auf als er von Arkansas nach Mississippi zurückkehrte
0,58714301;0,506376886;0,048348;"before he could be apprehended , Lamb killed himself with a single .38 @-@ caliber pistol in the backyard of a home about a mile south of his parents &apos; home on the outskirts of Greenville , Mississippi , said Washington County Coroner Methel Johnson .";bɪfˌɔː hiː kʊd biː ˌapɹɪhˈɛndɪd lˈam kˈɪld hɪmsˈɛlf wɪð ɐ sˈɪŋɡəl dɒtθɹˈiːˈeɪt ˈatat kˈalɪbə pˈɪstəl ɪnðə bˈakjɑːd əvə hˈəʊm ɐbˌaʊt ɐ mˈaɪl sˈaʊθ ɒv hɪz pˈeəɹənts and ɐpˈəʊz hˈəʊm ɒnðɪ ˈaʊtskɜːts ɒv ɡɹˈiːnvɪl mˌɪsɪsˈɪpi sˈɛd wˈɒʃɪŋtən kˈaʊnti kˈɒɹənə mˈɛθəl dʒˈɒnsən;bevor er festgenommen werden konnte tötete Lamb sich selbstmit einer .38 Kaliber Pistole im Hinterhof eines Hauses etwa eine Meile südlich seines Elternhauses am Stadtrand von Greenville Mississippi sagte Washington County Coroner Methel Johnson;bevor er festgenommen werden konnte tötete Lamb sich mit einer einzigen .38 @-@ Kaliber @-@ Pistole im Hinterhof eines Hauses etwa eine Meile südlich des Heims seiner Eltern am Rande von Greenville Mississippi sagte Washington County Coroner Methel Johnson;bəfˈoːɾ ɛɾ ɡəfˈast vˌɛɾdən kˈɔntə tˈøːtətə zɪç lˈam mɪt ˌaɪnɜ ˈaɪntsɪɡən ˈaxt ʊntdɾˈaɪsɪç ˈɛtˈɛt kˈœpfɪɡən pɪstˈoːlə ɪm hˌɪntɜhˈoːf ˌaɪnəs hˈaʊzəs ˌɛtvɑː ˌaɪnə mˈaɪlə zˈyːtlɪç dɛs hˈaʊzəs zˌaɪnɜ ˈɛltɜn am rˈandə fɔn ɡɹˈiːnvɪl mˌɪsɪsˈɪpiː zˈɑːɡtə vˈashɪŋtˌoːn kˈaʊnti kˈoːroːnˌɑː meːtˈɑːl jˈoːnzoːn;bevor er gefasst werden konnte tötete sich Lamb  mit einer einzigen .38 @-@ Kaliber Pistole im Hinterhof eines Hauses etwa eine Meile südlich des Hauses seiner Eltern am Rande von Greenville Mississippi sagte Washington County Coroner Methel Johnson
0,5;1;0,048763;his car was still running in the driveway .;hɪz kˈɑː wɒz stˈɪl ɹˈʌnɪŋ ɪnðə dɹˈaɪvweɪ;sein Auto lief noch in der Einfahrt;sein Auto lief immer noch in der Einfahrt;zaɪn ˈaʊtoː lˈiːf nɔx ɪn dɛɾ ˈaɪnfˌɑːɾt;sein Auto lief noch in der Einfahrt 
0,284816175;0,497644808;0,050052;it was not immediately clear why Lamb went to that home , though Johnson said she believes he knew the people who lived there .;ɪt wɒz nˌɒt ɪmˈiːdɪətli klˈiə wˌaɪ lˈam wɛnt tə ðat hˈəʊm ðˌəʊ dʒˈɒnsən sˈɛd ʃiː bɪlˈiːvz hiː njˈuː ðə pˈiːpəl hˌuː lˈɪvd ðˈeə;es war nicht sofort klar warum Lamm zu diesem Haus ging aber Johnson sagte dass sie glaubt dass er die Leute kannte die dort lebten;es war nicht sofort klar warum Lamb in dieses Haus ging obwohl Johnson sagte er kenne die Menschen die dort lebten;ɛs vɑːɾ nˈɪçt zoːfˈɔɾt klˈɑːɾ vɑːrˈʊm lˈamp ɪn dˌiːzə hˈaɪmɑːt ɡˈɪŋ ɔpvˈoːl jˈoːnzoːn zˈɑːɡtə das ziː ɡlˈaʊpt das ɛɾ diː mˈɛnʃən kˈantə diː dˈɔɾt lˈeːptən;es war nicht sofort klar  warum Lamb in diese Heimat ging obwohl Johnson sagte das sie glaubt dass er die Menschen kannte die dort lebten
0,759835686;0,759835686;0,051720;lamb grew up in the area .;lˈam ɡɹˈuː ˌʌp ɪnðɪ ˈeəɹiə;Lamb wuchs in der Gegend auf;Lamm wuchs in der Gegend auf;lˈam vˈʊxs ɪn dɛɾ ɡˈeːɡənt ˈaʊf;Lamb wuchs in der Gegend auf
0,479345067;0,484432896;0,053444;lamb started working at the university , which has 3,500 students in a city of about 12,000 , in 2009 and taught geography and education classes .;lˈam stˈɑːtɪd wˈɜːkɪŋ at ðə jˌuːnɪvˈɜːsɪti wˌɪtʃ hɐz θɹˈiː θˈaʊzənd fˈaɪvhˈʌndɹɪd stjˈuːdənts ɪn ɐ sˈɪti ɒv ɐbˌaʊt twˈɛlv θˈaʊzənd ɪn tˈuː θˈaʊzənd ən nˈaɪn and tˈɔːt dʒɪˈɒɡɹəfi and ˌɛdʒuːkˈeɪʃən klˈasɪz;Lamb begann 2009 seine Arbeit an der Universität die 3.500 Studenten in einer Stadt mit etwa 12.000 Einwohnern hat und unterrichtete Geographie und Pädagogik;Lamm begann seine Arbeit an der Universität die 3.500 Studenten in einer Stadt von etwa 12.000 im Jahr 2009 und lehrte Geografie und Bildung;lˈamp bəɡˈan zˌaɪnə ˈaɾbaɪt an dɛɾ ˌuːniːvˌɛɾziːtˈɛːt diː dɾˈaɪ tˈaʊzənt fˈynfhˈʊndɜt ʃtuːdˈɛntən ɪn ˌaɪnɜ ʃtˈat fɔn ˌɛtvɑː tsvˈœlf tˈaʊzənt ɪm jˈɑːɾ tsvˈaɪ tˈaʊzənt nˈɔøn hat ʊnt ˌʊntɜrˈɪçtətə ɡˌeːoːɡɾafˈiː ʊnt bˈɪldʊŋ klˈasən;Lamb begann seine Arbeit an der Universität  die 3.500 Studenten in einer Stadt von etwa 12.000  im Jahr 2009 hat und unterrichtete Geografie und Bildung Klassen
0,122193817;0,103033054;0,055226;he received a doctorate in education in the spring .;hiː ɹɪsˈiːvd ɐ dˈɒktəɹˌeɪt ɪn ˌɛdʒuːkˈeɪʃən ɪnðə spɹˈɪŋ;er promovierte im Frühjahr in Pädagogik;im Frühjahr promovierte er in Ausbildung;ɪm frˈyːjɑːɾ pɾoːmoːvˈiːɾtə ɛɾ ɪn dɛɾ ˈaʊsbˌɪldʊŋ;im Frühjahr promovierte er in der Ausbildung
0,149684289;0,44833867;0,052678;"one of Lamb &apos;s longtime friends described him as smart , charismatic and funny .";wˈɒn ɒv lˈam and ɐpˈəʊz ˈɛs lˈɒŋtaɪm fɹˈɛndz dɪskɹˈaɪbd hˌɪm az smˈɑːt kˌaɹɪsmˈatɪk and fˈʌni;einer der langjährigen Freundinnen Lambs bezeichnete ihn als intelligent charismatisch und lustig;einer von Lambs langjährigen Freunden beschrieb ihn als klug charismatisch und lustig;ˌaɪnɜ fɔn lˈams lˈaŋjˌɛːrɪɡən frˈɔøndən bəʃrˈiːp iːn als ˌɪntəlɪɡˈɛnt ʃˌɑrɪsmˈɑːtɪʃ ʊnt lˈʊstɪç;einer von Lambs langjährigen Freunden beschrieb ihn als intelligent charismatisch und lustig
0,331207692;0,510071485;0,054516;Carla Hairston said she was 15 and Lamb was 20 when they met through mutual friends .;kˈɑːlə hˈeəstən sˈɛd ʃiː wɒz fˈɪftiːn and lˈam wɒz twˈɛnti wɛn ðeɪ mˈɛt θɹuː mjˈuːtʃuːəl fɹˈɛndz;Carla Hairston sagte sie war 15 und Lamm war 20 als sie sich durch gemeinsame Freunde trafen;Carla Hairston sagte sie sei 15 und Lamb 20 wenn sie durch gemeinsame Freunde trafen;kˈaɾlɑː hˈaɪɾstoːn zˈɑːɡtə ziː zˈaɪ fˈynftseːn ʊnt lˈam vɑːɾ tsvˈantsɪç als ziː zɪç d??ç ɡeːɡənzˈaɪtɪɡə frˈɔøndə;Carla Hairston sagte sie sei 15 und Lamb war 20 als sie d??ch gegenseitige Freunde 
0,473207248;0,517634669;0,056472;she and her friends were in high school , and he was the cool older guy who tried for several years to teach her to play guitar .;ʃiː and hɜː fɹˈɛndz wɜːɹ ɪn hˈaɪ skˈuːl and hiː wʌzðə kˈuːl ˈəʊldə ɡˈaɪ hˌuː tɹˈaɪd fɔː sˈɛvɹəl jˈiəz tə tˈiːtʃ hɜː tə plˈeɪ ɡɪtˈɑː;Sie und ihre Freunde waren in der High School und er war der coole ältere Kerl der einige Jahre versuchte ihr das Gitarrenspiel beizubringen;Sie und ihre Freunde waren in der High School und er war der kühle ältere Mann der für mehrere Jahre versucht sie zu lehren Gitarre zu spielen;ziː ʊnt ˌiːrə frˈɔøndə vɑːrən ɪn dɛɾ hˈaɪ ʃˈoːl ʊnt ɛɾ vɑːɾ dɛɾ kˈoːlə ˈɛltərə kˈɛɾl dɛɾ fɛɾzˈuːxtə fyːɾ mˈeːrərə jˈɑːrə ziː tsuː lˈeːrən ɡiːtˈarə tsuː ʃpˈiːlən;Sie und ihre Freunde waren in der High School und er war der kühle ältere Kerl der versuchte für mehrere Jahre  sie zu lehren Gitarre zu spielen
0,233766414;0,668740305;0,058955;he was quite the heartthrob back then .;hiː wɒz kwˈaɪt ðə hˈɑːtθɹɒb bˈak ðˈɛn;er war damals der Frauenschwarm;er war damals ganz im Herzen;ɛɾ vɑːɾ dˈɑmɑːls dɛɾ hˈɛɾtsʃlɑːk;er war damals der Herzschlag
0,404356061;0,563012779;0,057231;"all the girls would melt when he was around , &quot; said Hairston , now 40 and living in the Jackson suburb of Brandon .";ˈɔːl ðə ɡˈɜːlz wʊd mˈɛlt wɛn hiː wɒz ɐɹˈaʊnd and kwˈɒt sˈɛd hˈeəstən nˈaʊ fˈɔːti and lˈɪvɪŋ ɪnðə dʒˈaksən sˈʌbɜːb ɒv bɹˈandən;"alle Mädchen schmolzen dahin wenn er da war &quot; sagte Hairston jetzt 40 und in der Jackson Vorstadt von Brandon wohnhaft";"alle Mädchen würden schmelzen wenn er um war &quot; sagte Hairston jetzt 40 und leben in der Jackson @-@ Vorstadt Brandon";ˈalə mˈɛːdçən vˈyɾdən ʃmˈɛltsən vˌɛn ɛɾ dˈɑː vɑːɾ ˈʊnt kvˈoːt zˈɑːɡtə hˈaɪɾstoːn jˌɛtst fˈɪɾtsɪç ʊnt lˈeːbən ɪn dɛɾ jˈakzoːn ˈɛtˈɛt fˈoːɾʃtˌat fɔn bɾˈandən;"alle Mädchen würden schmelzen wenn er da war &quot; sagte Hairston jetzt 40 und leben in der Jackson @-@ Vorstadt von Brandon"
0,155272899;0,138267078;0,055290;lamb and Prentiss had apparently been dating for some time .;lˈam and pɹˈɛntɪs had ɐpˈaɹəntli bˌiːn dˈeɪtɪŋ fɔː sˌʌm tˈaɪm;Lamb und Prentiss waren offensichtlich einige Zeit zusammen;Lamm und Prentiss waren offenbar seit einiger Zeit aus;lˈam ʊnt pɾˈɛntɪs vɑːrən ˈɔfənbˌɑːɾ ʃˌoːn zaɪt ˈaɪnɪɡɜ tsˈaɪt dˈɑː;Lamb und Prentiss waren offenbar schon seit einiger Zeit da
0,579508626;0,212798828;0,055486;"in the 911 call , Lamb said &quot; I killed my wife , &quot; but there was no record of them ever marrying .";ɪnðə nˈaɪnhˈʌndɹɪdən ɪlˈɛvən kˈɔːl lˈam sˈɛd and kwˈɒt aɪ kˈɪld maɪ wˈaɪf and kwˈɒt bˌʌt ðeəwˌɒz nˈəʊ ɹˈɛkɔːd ɒv ðˌɛm ˈɛvə mˈaɹiɪŋ;"in dem Notruf sagte Lamb &quot; Ich habe meine Frau getötet &quot; aber es gab keine Urkunde von einer Heirat";"in der 911 Aufruf sagte Lamb &quot; Ich habe meine Frau getötet &quot; aber es gab keine Aufzeichnung von ihnen jemals heiraten";ɪn dɛɾ nˈɔønhˈʊndɜt ˈɛlf ˈaʊfrˌuːf lˈamp zˈɑːɡtə ˈʊnt kvˈoːt ɪç tˈøːtətə mˌaɪnə frˈaʊ ˈʊnt kvˈoːt ˌɑːbɜ ɛs ɡˈɑːp kˈaɪnə ˈaʊftsˌaɪçnʊŋ fɔn ˌiːnən jˈeːmɑːls haɪrˈɑːtən;"in der 911 Aufruf Lamb sagte &quot; ich habe tötete meine Frau &quot; aber es gab keine Aufzeichnung von ihnen jemals heiraten"
0,421203971;0,249480505;0,054880;they had a dog named Lightning that lived with them at the brick house that backs up to a bayou in Gautier .;ðeɪ had ɐ dˈɒɡ nˈeɪmd lˈaɪtnɪŋ ðat lˈɪvd wɪð ðˌɛm at ðə bɹˈɪk hˈaʊs ðat bˈaks ˌʌp tʊ ɐ bˈaɪuː ɪn ɡˈɔːtiə;Sie hatten einen Hund namens Lightning der mit ihnen in dem Backstein @-@ Haus lebte das an einen Bayou in Gautier angrenzt;Sie hatten einen Hund namens Lightning der mit ihnen am Backsteinhaus lebte das bis zu einem Köder in Gautier sichert;ziː hˌatən ˌaɪnən hˈʊnt nˈɑməns blˈɪtsə dɛɾ mɪt ˌiːnən lˈeːptə am bˈakstaɪnhˌaʊs das bɪs tsuː ˌaɪnəm bˈiːuː ɪn ɡaʊtˈiːɾ bˈakən;Sie hatten einen Hund namens Blitz der mit ihnen lebte am Backsteinhaus das bis zu einem Beau in Gautier bacon.
0,221391041;0,088137249;0,056355;police said the dog was OK .;pəlˈiːs sˈɛd ðə dˈɒɡ wɒz ˌəʊkˈeɪ;die Polizei sagte dass der Hund in Ordnung war;die Polizei sagte der Hund war in Ordnung;pˌoːliːtsˈaɪ zˈɑːɡtə dɛɾ hˈʊnt vɑːɾ oːkˈeː;Polizei sagte der Hund war OK
0,260487093;0,237015257;0,062585;"Prentiss &apos; ex @-@ husband , Shawn O &apos;Steen , said they divorced 15 years ago but remained friends and had a daughter who &apos;s now 19 .";pɹˈɛntɪs and ɐpˈəʊz ˈɛks ˈatat hˈʌsbənd ʃˈɔːn ˈəʊ and ɐpˈəʊz stˈiːn sˈɛd ðeɪ dɪvˈɔːst fˈɪftiːn jˈiəz ɐɡˈəʊ bˌʌt ɹɪmˈeɪnd fɹˈɛndz and had ɐ dˈɔːtə hˌuː and ɐpˈəʊz ˈɛs nˈaʊ nˈaɪntiːn;"der Ex @-@ Ehemann von Prentiss Shawn O &apos; Steen sagte sie seien vor 15 Jahren geschieden wurden aber Freunde geblieben waren und eine Tochter hatten die jetzt 19 Jahre alt war";"Prentiss &apos; Ex @-@ Mann Shawn O &apos; Steen sagte sie geschieden vor 15 Jahren aber blieb Freunde und hatte eine Tochter die jetzt 19 ist";pɾˈɛntiːkə ˈʊnt ˈɑpoːs ˈɛks ˈɛtˈɛt mˈan zeːˈɑːn ˈoː ˈʊnt ˈɑpoːs ʃtˈeːən zˈɑːɡtə ziː ʃˈaɪdən fˌɔɾ fˈynftseːn jˈɑːrən ˌɑːbɜ blˈiːp frˈɔøndə ʊnt hˌatə ˌaɪnə tˈɔxtɜ diː jˌɛtst nˈɔøntseːn ɪst;"Prentiss &apos; Ex @-@ Mann  Shawn O &apos; Steen sagte sie scheiden für 15 Jahren aber blieb Freunde und hatte eine Tochter die jetzt 19 ist"
0,088577269;0,183498183;0,063236;"&quot; she was completely devastated , &quot; O &apos;Steen said of his daughter .";and kwˈɒt ʃiː wɒz kəmplˈiːtli dˈɛvɪstˌeɪtɪd and kwˈɒt ˈəʊ and ɐpˈəʊz stˈiːn sˈɛd ɒv hɪz dˈɔːtə;"&quot; Sie war total am Boden zerstört &quot; sagte O &apos; Steen über seine Tochter";"O &apos; Steen sagt von seiner Tochter dass sie völlig verwüstet sei";ˈʊnt kvˈoːt ziː vɑːɾ fˈœlɪç fɛɾvˈystət ˈʊnt kvˈoːt zˈɑːɡtə ˈoː ˈʊnt ˈɑpoːs ʃtˈeːən fɔn zˌaɪnɜ tˈɔxtɜ;"&apos; Si war völlig verwüstet &amp; sagte O &apos;  Steen  von seiner Tochter"
1;1;0,068588;she and her mother were absolutely best friends .;ʃiː and hɜː mˈʌðə wɜːɹ ˌabsəlˈuːtli bˈɛst fɹˈɛndz;Sie und ihre Mutter waren absolut beste Freunde;Sie und ihre Mutter waren absolut beste Freunde;ziː ʊnt ˌiːrə mˈʊtɜ vɑːrən apzoːlˈuːt bˈɛstə frˈɔøndə;Sie und ihre Mutter waren absolut beste Freunde
